acct	sched_cd	Div_ord	Type_Interest	Interest_Percent
0151310	E	010496	ROYALTY	0.000364
0151312	E	010496	ROYALTY	0.000364
0151313	E	010496	ROYALTY	0.000761
0151315	E	010496	ROYALTY	0.007256
0151316	E	010496	ROYALTY	0.000761
0151317	E	010496	ROYALTY	0.000761
0151318	E	010496	ROYALTY	0.000711
0151319	E	010496	ROYALTY	0.000824
0151320	E	010496	ROYALTY	0.000102
0151321	E	010496	ROYALTY	0.000634
0151322	E	010496	ROYALTY	0.000634
0151323	E	010496	ROYALTY	0.000339
0151324	E	010496	ROYALTY	0.000330
0151332	E	010496	ROYALTY	0.000102
0151333	E	010496	ROYALTY	0.000252
0151340	E	010496	ROYALTY	0.001142
0151341	E	010496	ROYALTY	0.000571
0151346	E	010496	ROYALTY	0.011534
0151348	E	010496	WORKING	0.889237
0151362	E	010496	ROYALTY	0.011536
0151367	E	010496	ROYALTY	0.013117
0151369	E	010496	ROYALTY	0.012336
0151378	E	010496	WORKING	0.848399
0151400	E	010496	ROYALTY	0.001229
0151402	E	010496	ROYALTY	0.011721
0151403	E	010496	ROYALTY	0.001229
0151404	E	010496	ROYALTY	0.001229
0151405	E	010496	ROYALTY	0.001148
0151406	E	010496	ROYALTY	0.001331
0151407	E	010496	OVERRIDE	0.003060
0151408	E	010496	ROYALTY	0.001025
0151409	E	010496	ROYALTY	0.001025
0151439	E	010496	ROYALTY	0.001844
0151440	E	010496	ROYALTY	0.000922
0151450	E	010496	WORKING	0.875000
0151451	E	010496	ROYALTY	0.062500
0151453	E	010496	WORKING	0.937500
0151455	E	010496	WORKING	0.824350
0151467	E	010496	OVERRIDE	0.017050
0151470	E	010496	WORKING	0.761316
0151471	E	010496	OVERRIDE	0.000632
0151491	E	010496	OVERRIDE	0.000632
0151492	E	010496	OVERRIDE	0.000632
0151493	E	010496	OVERRIDE	0.000632
0151494	E	010496	ROYALTY	0.000671
0151510	E	010496	WORKING	0.854167
0151512	E	010496	ROYALTY	0.020833
0151516	E	010496	OVERRIDE	0.013889
0151518	E	010496	ROYALTY	0.015625
0151519	E	010496	ROYALTY	0.036459
0151520	E	010496	ROYALTY	0.015625
0151521	E	010496	ROYALTY	0.013600
0151525	E	010496	WORKING	0.875000
