RP_TYPE	tax_dist	name	prop	curr	ABT	DIS	ERE	ESP	GCC	HIS	MCL	OVR	PAR	PDS	PMD	POL	POV	PRO	RES	SOL	SPV	SUR	TOT	UND	V11	V12	V13	V14	V21	V22	V23	V24	VS1	VS2	VS3	VS4
Personal	071	CITY OF LAPORTE	0.710000	0.710000	0.000000	0.000000			0.000000	0.000000		0.000000	0.000000	0.000000		0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000				
Personal	072	CITY OF MORGANS POINT	0.646000	0.646000	0.000000	0.000000			0.000000	0.000000		0.000000	0.000000	0.000000		0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000				
Personal	073	CITY OF NASSAU BAY	0.642120	0.692120	0.000000	0.000000			0.000000	0.000000		0.000000	0.000000	0.000000		0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000				
Personal	074	CITY OF PASADENA	0.562000	0.591593	0.000000	0.000000			0.000000	0.000000		0.000000	0.000000	0.000000		0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000				
Personal	075	PINEY POINT VILLAGE	0.215140	0.215140	0.000000	0.000000			0.000000	0.000000		0.000000	0.000000	0.000000		0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000				
Personal	076	CITY OF SEABROOK	0.613409	0.626807	0.000000	0.000000			0.000000	0.000000		0.000000	0.000000	0.000000		0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000				
Personal	077	CITY OF SHOREACRES	0.884264	0.824670	0.000000	0.000000			0.000000	0.000000		0.000000	0.000000	0.000000		0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000				
Personal	078	CITY OF SOUTH HOUSTON	0.673160	0.673160	0.000000	0.000000			0.000000	0.000000		0.000000	0.000000	0.000000		0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000				
Personal	079	CITY OF SOUTHSIDE PL	0.347833	0.347833	0.000000	0.000000			0.000000	0.000000		0.000000	0.000000	0.000000		0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000				
Personal	080	CITY OF SPRING VALLEY	0.539760	0.539760	0.000000	0.000000			0.000000	0.000000		0.000000	0.000000	0.000000		0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000				
Personal	081	CITY OF STAFFORD	0.000000	0.000000	0.000000	0.000000			0.000000	0.000000		0.000000	0.000000	0.000000		0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000				
Personal	082	TAYLOR LAKE VILLAGE	0.346798	0.348600	0.000000	0.000000			0.000000	0.000000		0.000000	0.000000	0.000000		0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000				
Personal	083	CITY OF TOMBALL	0.251455	0.251456	0.000000	0.000000			0.000000	0.000000		0.000000	0.000000	0.000000		0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000				
Personal	084	CITY OF WEBSTER	0.232520	0.257500	0.000000	0.000000			0.000000	0.000000		0.000000	0.000000	0.000000		0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000				
Personal	085	WEST UNIVERSITY PLACE	0.358750	0.374110	0.000000	0.000000			0.000000	0.000000		0.000000	0.000000	0.000000		0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000				
Personal	086	CITY OF WALLER	0.488370	0.498430	0.000000	0.000000			0.000000	0.000000		0.000000	0.000000	0.000000		0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000				
Personal	100	HC MUD 421	1.250000	1.250000	0.000000	0.000000			0.000000	0.000000		0.000000	0.000000	0.000000		0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000				
Personal	101	ADDICKS UD	0.630000	0.655000	0.000000	0.000000			0.000000	0.000000		0.000000	0.000000	0.000000		0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000				
Personal	105	HC MUD 264	0.710000	0.760000	0.000000	0.000000			0.000000	0.000000		0.000000	0.000000	0.000000		0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000				
Personal	108	HC MUD 255	0.500000	0.500000	0.000000	0.000000			0.000000	0.000000		0.000000	0.000000	0.000000		0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000				
Personal	110	BAKER ROAD MUD	0.545000	0.565000	0.000000	0.000000			0.000000	0.000000		0.000000	0.000000	0.000000		0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000				
Personal	111	BAMMEL UD	0.445000	0.445000	0.000000	0.000000			0.000000	0.000000		0.000000	0.000000	0.000000		0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000				
Personal	112	BARKER-CYPRESS MUD	0.900000	0.930000	0.000000	0.000000			0.000000	0.000000		0.000000	0.000000	0.000000		0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000				
Personal	116	BEECHNUT MUD	1.050000	0.850000	0.000000	0.000000			0.000000	0.000000		0.000000	0.000000	0.000000		0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000				
Personal	117	BILMA PUD	0.560000	0.560000	0.000000	0.000000			0.000000	0.000000		0.000000	0.000000	0.000000		0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000				
Personal	118	BISSONNET MUD	0.540000	0.600000	0.000000	0.000000			0.000000	0.000000		0.000000	0.000000	0.000000		0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000				
Personal	121	BRIDGESTONE MUD	0.750000	0.750000	0.000000	0.000000			0.000000	0.000000		0.000000	0.000000	0.000000		0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000				
